% デバイス,CC2250005
% ファイル名,CC2250005_20230926_055753
% 観測時間（UTC）,2023-09-26 05:57:53
% 観測時間（現地）,2023-09-26 14:57:53
% サンプルタイプ,キャスト
% キャストデータ,処理
% 位置情報,GPS
% デフォルト緯度,32
% デフォルト高度,0
% 開始緯度,32.8144378
% 開始経度,129.7701055
% 開始高度,27.518999099731445
% 開始GPS水平エラー(m),14.161999702453613
% 開始GPS垂直エラー(m),18.003999710083008
% 開始GPS衛星数,6
% 終了緯度,32.8144821
% 終了経度,129.7701649
% 終了高度,39.8129997253418
% 終了GPS水平エラー(m),61.602001190185547
% 終了GPS垂直エラー(m),47.5880012512207
% 終了時のGPS衛星数,5
% 観測時間 (sec),108
% １秒あたりのサンプル,5
% 電子校正日,0001-01-01
% 電導率校正日,2023-01-20
% 水温校正日,2023-01-18
% 水圧校正日,2022-12-16
% 
水圧 (dbar),水深 (m),水温 (℃),電導率 (μS/cm),25℃換算電導率 (μS/cm),塩分濃度 (PSS),音速 (m/s),密度 (kg/m³)
0.15,0.15006219609560109,28.637449264526367,53564.78125,49932.2600016194,32.697463571307118,1540.3065777529,1020.4590041720118
0.44999999999999996,0.45017194587467341,28.585158356729877,53566.5915097297,49982.675382914262,32.734579844831138,1540.2364891208204,1020.5053234830407
0.74999999999999989,0.75027220124878691,28.542007236674618,53563.800244739112,50020.351317768276,32.762301773841934,1540.1763687795144,1020.5415791015724
1.05,1.050364335401573,28.534348341734116,53586.422655918104,50048.636357588191,32.783045999833426,1540.1864639522196,1020.5609471438921
1.35,1.3504528934433424,28.530009715833451,53587.292369491894,50053.505177714833,32.786553867396194,1540.1857227377266,1020.5662909851069
1.65,1.6505368130919902,28.513433536304248,53609.281056891414,50089.554635400236,32.813030094401817,1540.1823265329406,1020.5928856768226
1.9500000000000002,1.9506164666816641,28.479317491942918,53556.428377418393,50072.0941188966,32.80015652440256,1540.0991917861074,1020.595697161333
2.25,2.2506934007363992,28.45177472366337,53540.058554605886,50082.582693838442,32.807837130228194,1540.0519743305554,1020.6117732389778
2.55,2.5507651775089659,28.431060067960253,53541.289936198518,50103.151489132033,32.822923570021317,1540.0274669329174,1020.6311676402934
2.85,2.8508306932136174,28.396030137938126,53527.177744079709,50122.806513707845,32.83735732191429,1539.9708278624216,1020.6547537598932
3.15,3.1508873734913858,28.345844892865884,53513.994583615866,50157.603362630849,32.862952128076891,1539.8925323790988,1020.6916639612274
3.4499999999999997,3.4509347941062289,28.309827030793624,53503.817012230124,50181.945798965404,32.880829551022622,1539.8371594133148,1020.7181392621642
3.75,3.750973364531963,28.274861763124193,53510.098451283433,50220.776441621914,32.909368823837958,1539.7952413586754,1020.7522678638103
4.05,4.0510017887845029,28.23148112459657,53504.835719997238,50256.760275710571,32.93581827067613,1539.7324980857393,1020.7875650107079
4.35,4.3510200968995649,28.194797855620184,53507.845797334885,50294.24676315565,32.9633656942647,1539.6855902538609,1020.8214938369213
4.6499999999999995,4.6510293523328414,28.161698212147645,53505.396426292682,50323.2573692186,32.984667212520918,1539.6399529634175,1020.8495583148876
4.9499999999999993,4.9510288634645017,28.108303102675958,53490.102709083549,50359.453780390468,33.011268299112764,1539.5549238127494,1020.8881984214365
5.2499999999999991,5.2510165817206325,28.074673352948185,53513.4962121681,50413.401375361966,33.050932646593367,1539.5272857977245,1020.9302101996311
5.55,5.5509961328887245,28.032922600417564,53469.809473819536,50411.90156225572,33.04975299115695,1539.4385512301003,1020.9441757999949
5.85,5.850964059584963,28.014928069453269,53563.717136512241,50517.579752574609,33.127529333512058,1539.4856379374342,1021.0097283491078
6.1499999999999995,6.1509210517581723,28.009959465463851,53571.017266451476,50529.200367860263,33.136008134845248,1539.4886066695879,1021.0189990525762
6.4499999999999993,6.4508741354338826,28.008023585061078,53599.459173697047,50557.87364688942,33.157054193129383,1539.5115480544164,1021.0367255755044
6.7499999999999991,6.7508239451930248,28.007929239798944,53606.440321311828,50564.548634606457,33.161888821057438,1539.5214926658441,1021.0416764569471
7.0499999999999989,7.0507722951786009,28.004358148117969,53608.557866112285,50569.952867183027,33.165787035867723,1539.5227350074356,1021.047052628574
7.35,7.3507184329850173,27.997580962774524,53614.4322969911,50581.961782981991,33.174553059858695,1539.521990465088,1021.0571261818716
7.6499999999999995,7.650660782510796,27.985263486202303,53622.804052880783,50601.620643864968,33.188957464727224,1539.5148854811241,1021.0732333032578
7.9499999999999993,7.950599720673595,27.9823656092804,53630.09562959685,50611.269441131742,33.195984423128472,1539.5209161549076,1021.0807410730351
8.25,8.2505357577022327,27.972189212513825,53635.306675160755,50625.910947333745,33.206691051405606,1539.5146599977745,1021.093374885135
8.5499999999999989,8.5504669558366935,27.962352052113481,53656.498250503748,50655.320403545564,33.228284547185972,1539.5206286377415,1021.1140770872939
8.85,8.85039279080476,27.951351529579579,53667.176290384443,50675.926808407326,33.243389182600708,1539.5171678124211,1021.1302816126432
9.1499999999999986,9.1503147538410516,27.94746106443877,53678.648815988621,50690.484243106548,33.254036060394185,1539.524805006246,1021.1408307718074
9.45,9.4502347548831214,27.944205218711875,53677.106085500025,50692.144554593418,33.25517432325168,1539.5238272234985,1021.144030344838
9.75,9.7501534784013977,27.946455672668776,53689.698204522239,50701.881289701822,33.26226867216463,1539.5413673262285,1021.1499188406023
10.049999999999999,10.050071073820655,27.949337848031121,53696.237796853507,50705.296779126918,33.26470252634585,1539.5553972996938,1021.1521009496844
10.35,10.349989096524208,27.950866455463217,53687.403344515318,50695.490875179159,33.2573877526622,1539.5561411475837,1021.1473980512064
10.649999999999999,10.649906953464898,27.951316573726473,53697.690376012783,50704.773602037923,33.264146982077719,1539.5693260244486,1021.1536185340225
10.95,10.949823291951853,27.952127446365928,53705.293571892355,50711.176454892484,33.268783046375795,1539.5810741266996,1021.1581268705435
11.25,11.249738787367077,27.952386540340552,53706.476044174065,50712.044870025849,33.269338293437585,1539.587293814898,1021.1597483395751
11.549999999999999,11.549654319385097,27.951283503617248,53699.499583204757,50706.513638650882,33.265174585932257,1539.5855116337909,1021.158266428389
11.997075866769862,11.996604596226373,27.953422848013851,53700.743121450345,50705.639251669752,33.264403542593392,1539.5969912580615,1021.1589131340178
