% デバイス,CC2250005
% ファイル名,CC2250005_20230926_061521
% 観測時間（UTC）,2023-09-26 06:15:21
% 観測時間（現地）,2023-09-26 15:15:21
% サンプルタイプ,キャスト
% キャストデータ,処理
% 位置情報,GPS
% デフォルト緯度,32
% デフォルト高度,0
% 開始緯度,32.8193468
% 開始経度,129.7764507
% 開始高度,29.766000747680664
% 開始GPS水平エラー(m),8.9540004730224609
% 開始GPS垂直エラー(m),14.029999732971191
% 開始GPS衛星数,7
% 終了緯度,32.8193108
% 終了経度,129.776385
% 終了高度,34.673999786376953
% 終了GPS水平エラー(m),20.339000701904297
% 終了GPS垂直エラー(m),23.298000335693359
% 終了時のGPS衛星数,7
% 観測時間 (sec),61.8
% １秒あたりのサンプル,5
% 電子校正日,0001-01-01
% 電導率校正日,2023-01-20
% 水温校正日,2023-01-18
% 水圧校正日,2022-12-16
% 
水圧 (dbar),水深 (m),水温 (℃),電導率 (μS/cm),25℃換算電導率 (μS/cm),塩分濃度 (PSS),音速 (m/s),密度 (kg/m³)
0.15,0.15028528658772505,29.270629780220407,51619.767944804655,47557.738093190615,30.955768368325018,1539.8555340433995,1018.9444926687222
0.44999999999999996,0.4508156213826614,29.222796337299211,51967.250899484039,47920.113319327647,31.220448613379304,1540.0339391533014,1019.159856717543
0.74999999999999989,0.75126794309857448,29.212392784692923,52607.642152419387,48519.941151973428,31.659055530165823,1540.4745832449855,1019.4931494503057
1.05,1.0516405831702085,29.170416511228268,52947.063350246666,48870.829098454473,31.916175658783224,1540.6579694701418,1019.7010157182475
1.35,1.3519458949349428,29.011933878406154,53176.417970537834,49226.545091174419,32.177569652820594,1540.5947849126326,1019.9507322142516
1.65,1.6521749606239593,28.866892564104695,53462.4121564403,49624.555651522838,32.47023104365298,1540.5924414536928,1020.219396817512
1.9500000000000002,1.9523377695491821,28.773237843823654,53661.47514347254,49896.0796254489,32.670029021722954,1540.6036736508545,1020.4014395571453
2.25,2.2524473153565538,28.651847011050574,53810.68084699582,50148.022710115212,32.855624642782971,1540.53932493731,1020.5819513762482
2.55,2.5525180949173243,28.562811103237568,53823.963654009771,50243.781595283384,32.926225229846494,1540.4242846327593,1020.6654903318436
2.85,2.852571908351289,28.52165147867581,53816.440490825138,50275.392298261548,32.94949476017247,1540.3638427321712,1020.6977563489274
3.15,3.1526167557860272,28.478500408309131,53799.536310771851,50300.154174118208,32.967719845884794,1540.2936441002382,1020.7268791762466
3.4499999999999997,3.45264992305133,28.435400817950736,53824.484696563275,50364.069392815174,33.014779427195137,1540.2537412161419,1020.7776175280401
3.8748039821926632,3.8775048158021885,28.426989790383143,53673.505751839621,50230.7035848582,32.916455420357153,1540.1391639813642,1020.7083920767906
