% デバイス,CC2250005
% ファイル名,CC2250005_20230926_053721
% 観測時間（UTC）,2023-09-26 05:37:21
% 観測時間（現地）,2023-09-26 14:37:21
% サンプルタイプ,キャスト
% キャストデータ,処理
% 位置情報,GPS
% デフォルト緯度,32
% デフォルト高度,0
% 開始緯度,32.8095457
% 開始経度,129.770797
% 開始高度,35.745998382568359
% 開始GPS水平エラー(m),26.103000640869141
% 開始GPS垂直エラー(m),17.915000915527344
% 開始GPS衛星数,5
% 終了緯度,32.8096125
% 終了経度,129.7708206
% 終了高度,31.934999465942383
% 終了GPS水平エラー(m),43.408000946044922
% 終了GPS垂直エラー(m),31.63800048828125
% 終了時のGPS衛星数,5
% 観測時間 (sec),97.4
% １秒あたりのサンプル,5
% 電子校正日,0001-01-01
% 電導率校正日,2023-01-20
% 水温校正日,2023-01-18
% 水圧校正日,2022-12-16
% 
水圧 (dbar),水深 (m),水温 (℃),電導率 (μS/cm),25℃換算電導率 (μS/cm),塩分濃度 (PSS),音速 (m/s),密度 (kg/m³)
0.15,0.15021164010832866,28.917803445164754,52042.271968625988,48260.749365980555,31.470685928730617,1539.63125794373,1019.4468245048988
0.44999999999999996,0.45050831736789354,28.685604453528061,53210.436733116047,49557.453319890126,32.421745398767811,1540.1274419883323,1020.2376163512516
0.74999999999999989,0.750663927883738,28.557665923484677,53369.909551505218,49824.715688462136,32.618374127803605,1540.0595285099003,1020.4284407070264
1.05,1.050766406114952,28.38816982302513,53421.321541166013,50031.047812886987,32.770344079941751,1539.8527720375478,1020.5992944206424
1.35,1.3508276201172871,28.282634839254353,53459.252160708718,50165.736287241794,32.869512391461491,1539.729954623215,1020.7095010463667
1.65,1.6508671026459625,28.249331651388864,53475.7669873563,50212.618007536556,32.903973363735076,1539.6978713458916,1020.7475268123827
1.9500000000000002,1.9508990525198049,28.239277295607952,53483.207150640061,50229.088247834108,32.916024413333865,1539.6934401306535,1020.7611421497534
2.25,2.250924071242054,28.217833432205822,53511.155889089154,50275.586620091366,32.950195143002986,1539.6871492116693,1020.795078605329
2.55,2.5509412643062563,28.208343640713064,53531.213396447405,50303.401434476618,32.970600963413162,1539.6927401934529,1020.8147823586126
2.85,2.8509535328730755,28.205417785935264,53551.39167653233,50325.130320364224,32.986521203822065,1539.7080961690535,1020.8289787739133
3.15,3.1509623287346642,28.196005375399867,53552.551399919059,50335.124810597219,32.993804810523322,1539.7000452503833,1020.8388036893392
3.4499999999999997,3.450969531282662,28.193149039870185,53548.231956824675,50333.767527739663,32.992723169697577,1539.6976617534972,1020.8402105405206
3.75,3.7509758768000232,28.182557679192911,53537.825918561044,50334.008230208841,32.992823695242507,1539.6794404457751,1020.8450248762713
4.05,4.0509795985107315,28.176720815358912,53551.759652520217,50352.6344154085,33.006461630101114,1539.6859628035536,1020.8584556951483
4.35,4.3509800192003985,28.176012312010471,53566.365709670485,50367.0389905975,33.016987489241515,1539.7005370262509,1020.8678791586775
4.6499999999999995,4.6509773080568024,28.175758376769149,53587.205779106982,50386.874973575919,33.031514310269031,1539.7203265055548,1020.8801590855744
4.9499999999999993,4.9509727215678856,28.174365335904742,53584.249666315969,50385.415347998962,33.030355839426484,1539.721090841867,1020.8810312532678
5.2499999999999991,5.2509686533017712,28.170879139439133,53568.484862096462,50373.894252918617,33.0217875715012,1539.7094319518385,1020.877020811115
5.55,5.5509633635307942,28.154695569942906,53564.116159961442,50385.121752301086,33.029982832041405,1539.687358337653,1020.889733568727
5.7323095999214431,5.7332683040140324,28.147646230660722,53558.432857661646,50386.45796769447,33.030919751951863,1539.6758377947654,1020.8935151422165
