% デバイス,CC2250005
% ファイル名,CC2250005_20230926_053336
% 観測時間（UTC）,2023-09-26 05:33:36
% 観測時間（現地）,2023-09-26 14:33:36
% サンプルタイプ,キャスト
% キャストデータ,処理
% 位置情報,GPS
% デフォルト緯度,32
% デフォルト高度,0
% 開始緯度,32.8096093
% 開始経度,129.7708022
% 開始高度,33.444000244140625
% 開始GPS水平エラー(m),24.7189998626709
% 開始GPS垂直エラー(m),17.285999298095703
% 開始GPS衛星数,5
% 終了緯度,32.809588
% 終了経度,129.7708223
% 終了高度,30.961999893188477
% 終了GPS水平エラー(m),38.337001800537109
% 終了GPS垂直エラー(m),28.083000183105469
% 終了時のGPS衛星数,5
% 観測時間 (sec),77.2
% １秒あたりのサンプル,5
% 電子校正日,0001-01-01
% 電導率校正日,2023-01-20
% 水温校正日,2023-01-18
% 水圧校正日,2022-12-16
% 
水圧 (dbar),水深 (m),水温 (℃),電導率 (μS/cm),25℃換算電導率 (μS/cm),塩分濃度 (PSS),音速 (m/s),密度 (kg/m³)
0.15,0.1501329035672016,28.895760771060303,53054.625,49219.6642564957,32.173227563411572,1540.3186802685982,1019.9807221207192
0.44999999999999996,0.45035966464683508,28.723177665562226,53162.251142551671,49477.947370776878,32.363251348716375,1540.1479565599077,1020.1813832370303
0.74999999999999989,0.75051170666526079,28.469320986651795,53384.419492970846,49920.607282723729,32.689055892484738,1539.9403581300392,1020.5104395504164
1.05,1.0505951174169277,28.326820210332333,53416.016022396492,50083.631286951248,32.80911746084665,1539.7586608882655,1020.6484478622621
1.35,1.3506488327097519,28.279092688555561,53459.879162258134,50169.65986523022,32.872404211845875,1539.7251931279434,1020.7128279906959
1.65,1.6506873020712318,28.255208009381708,53495.0737342888,50225.204007150664,32.913233817173285,1539.7205666972207,1020.7525632030144
1.9500000000000002,1.9507175064464426,28.248848350618225,53514.85713890921,50249.778912155474,32.931249485214344,1539.730559839076,1020.7694525045788
2.25,2.25074140121106,28.226399066072538,53526.70918261991,50282.1063624599,32.954988927501539,1539.7110902974964,1020.7958859272696
2.55,2.5507586081202973,28.211759777149375,53537.890534279853,50306.446130043732,32.972840475815893,1539.702635621675,1020.8153506342765
2.85,2.8507736405647197,28.210725997390494,53525.607402412257,50295.881515539935,32.964977443814135,1539.6971415569692,1020.8110717114469
3.15,3.1507868947813855,28.205559452349814,53547.075198953455,50320.9399075199,32.983350998210511,1539.7101338286796,1020.8278404897775
3.4499999999999997,3.4507984947137915,28.197524653892298,53521.729483388546,50304.717965361684,32.971326612722095,1539.6848054412631,1020.822717998331
3.75,3.7508129996311523,28.186264167990569,53473.545822143446,50270.071284989564,32.945738253012863,1539.6380730674935,1020.8084603890823
4.05,4.0508225772391251,28.176204539066632,53547.422736216264,50349.045405146309,33.003818596523161,1539.6820406147147,1020.8566390965766
4.35,4.3508221323522394,28.168248323286679,53571.319836337723,50379.052842403406,33.02584140681757,1539.6927049729741,1020.877056738075
4.6499999999999995,4.6508182415735133,28.162186703673044,53565.637475869509,50379.452762586036,33.026055434680515,1539.6845976925208,1020.8804798577224
4.9499999999999993,4.9508144755627734,28.159830085328409,53551.96630755307,50368.827572995659,33.0181464530946,1539.6761254112312,1020.876596295219
5.2499999999999991,5.2508101562817595,28.151390820423607,53551.270075067514,50376.170076146205,33.023475259725622,1539.6681429426578,1020.8846341266923
5.55,5.5508032135282068,28.142451843777572,53553.922456926324,50387.139282130178,33.031475530110136,1539.6618637774525,1020.8948404372881
5.7600091479602877,5.7608170031626562,28.133560622952995,53341.248139616058,50195.4391106375,32.890264328814155,1539.4970835557758,1020.7925919498298
