% デバイス,CC2250005
% ファイル名,CC2250005_20230926_061406
% 観測時間（UTC）,2023-09-26 06:14:06
% 観測時間（現地）,2023-09-26 15:14:06
% サンプルタイプ,キャスト
% キャストデータ,処理
% 位置情報,GPS
% デフォルト緯度,32
% デフォルト高度,0
% 開始緯度,32.8193343
% 開始経度,129.7764384
% 開始高度,29.072999954223633
% 開始GPS水平エラー(m),11.871000289916992
% 開始GPS垂直エラー(m),16.957000732421875
% 開始GPS衛星数,7
% 終了緯度,32.8193764
% 終了経度,129.7764852
% 終了高度,21.687999725341797
% 終了GPS水平エラー(m),36.409999847412109
% 終了GPS垂直エラー(m),51.554000854492188
% 終了時のGPS衛星数,6
% 観測時間 (sec),42.2
% １秒あたりのサンプル,5
% 電子校正日,0001-01-01
% 電導率校正日,2023-01-20
% 水温校正日,2023-01-18
% 水圧校正日,2022-12-16
% 
水圧 (dbar),水深 (m),水温 (℃),電導率 (μS/cm),25℃換算電導率 (μS/cm),塩分濃度 (PSS),音速 (m/s),密度 (kg/m³)
0.15,0.15025252527562316,29.1960543229726,51939.3839934356,47918.049240182008,31.219133788873254,1539.9699261264973,1019.1664429308173
0.44999999999999996,0.450725664578721,29.14424398431829,52170.127025752983,48176.983541281821,31.408506016925759,1540.061127764727,1019.3267440910951
0.74999999999999989,0.75111829846936884,29.109147867474139,52909.893086376447,48891.818825131988,31.931879905513803,1540.5374276042444,1019.7318132039978
1.05,1.0514329422713102,28.996819530221163,52969.176110871842,49048.422269783718,32.047029338210116,1540.4205152536074,1019.856590477619
1.35,1.3516908565113228,28.8852757757006,53295.821203162988,49453.046714476106,32.344263024858471,1540.4952958821509,1020.1175781503297
1.65,1.6518640389476347,28.775454596585853,53728.693186128228,49956.52160376103,32.714566531487968,1540.6501006212525,1020.4328292573961
1.9500000000000002,1.9519688884825648,28.699659292993363,53892.956461031084,50179.979883096712,32.879126199401121,1540.6629834769969,1020.5825544893878
2.25,2.2520342979482169,28.623057411425918,53995.321774571414,50347.11221358498,33.002293223804415,1540.6304851960981,1020.7014806223381
2.55,2.5520689042088094,28.540350322110125,54033.064475442137,50460.133479112235,33.08563873962909,1540.5425953724405,1020.792509240153
2.85,2.8520863343524936,28.502598200794694,54019.267810667792,50482.845345130758,33.102356333362735,1540.4827136453837,1020.8187416608726
3.15,3.1520970773920678,28.460214230620039,53985.137294041735,50490.947399833873,33.108309927914071,1540.4012979741181,1020.8384042859054
3.4499999999999997,3.4520999082810864,28.423537696413835,53989.205876679582,50529.418496656122,33.136632320068244,1540.3557826270596,1020.8729764737319
3.75,3.7520960164149297,28.406979014785122,53981.936265307464,50538.279136106132,33.143101464162676,1540.3313456490334,1020.8845460712976
4.043953398392663,4.0460430282259274,28.403773821979811,53987.2575997304,50546.29451815111,33.148931314111962,1540.3354048486283,1020.8912343656311
